eccn_no,part_id,iso_language,beg_eff_dt,last_update_dt,parent_id,end_eff_dt,eccn_desc,iso_country,unit,notes,AT,AT1,AT2,CB,CB1,CB2,CB3,CC,CC1,CC2,CC3,CW,EI,FC1,MT1,MT2,NP,NP1,NP2,NS1,NS2,RS,RS1,RS2,SI,SL,SS,UN,Z,AGR,APP,APR,AVS,BAG,CIV,ENC,GBS,GFT,GOV,KMI,LVS,RPL,STA,TMP,TSR,TSU
0,EU_ECCN_0,EN,1/1/1980,11/24/2020,0,1/1/2050,"CATEGORY 0 NUCLEAR MATERIALS, FACILITIES, AND EQUIPMENT",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A                  ,EU_ECCN_0A,EN,1/1/1980,11/24/2020,EU_ECCN_0,1/1/2050,"Systems, Equipment and Components",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A001               ,EU_ECCN_0A001,EN,1/1/1980,11/24/2020,EU_ECCN_0A,1/1/2050,"″Nuclear reactors″ and specially designed or prepared equipment and components therefor, as follows:",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A001.a             ,EU_ECCN_0A001A,EN,1/1/1980,11/24/2020,EU_ECCN_0A001,1/1/2050,a. ″Nuclear reactors″;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A001.b             ,EU_ECCN_0A001B,EN,1/1/1980,11/24/2020,EU_ECCN_0A001,1/1/2050,"b. Metal vessels, or major shop-fabricated parts therefor, including the reactor vessel head for a reactor pressure vessel, specially designed or prepared to contain the core of a ″nuclear reactor″;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A001.c             ,EU_ECCN_0A001C,EN,1/1/1980,11/24/2020,EU_ECCN_0A001,1/1/2050,c. Manipulative equipment specially designed or prepared for inserting or removing fuel in a ″nuclear reactor″;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A001.d             ,EU_ECCN_0A001D,EN,1/1/1980,11/24/2020,EU_ECCN_0A001,1/1/2050,"d. Control rods specially designed or prepared for the control of the fission process in a ″nuclear reactor″,support or suspension structures therefore, rod drive mechanisms and rod guide tubes;",EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A001.e             ,EU_ECCN_0A001E,EN,1/1/1980,11/24/2020,EU_ECCN_0A001,1/1/2050,e. Pressure tubes specially designed or prepared to contain both fuel elements and the primary coolant in a &quot;nuclear reactor&quot;;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A001.f             ,EU_ECCN_0A001F,EN,1/1/1980,11/24/2020,EU_ECCN_0A001,1/1/2050,"f. Zirconium metal tubes or zirconium alloy tubes (or assembles of tubes) specially designed or prepared for use as fuel cladding in a &quot;nuclear reactor&quot;, and in quantities exceeding 10 kg;",EU,,N.B.: For zirconium pressure tubes see 0A001.e. and for calandria tubes see 0A001.h.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0A001.g             ,EU_ECCN_0A001G,EN,1/1/1980,11/24/2020,EU_ECCN_0A001,1/1/2050,g. Coolant pumps specially designed or prepared for circulating the primary coolant of ″nuclear reactors″;,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
