name,parent_name,desc,rank
gi-G-QSQM,gi-G-3H66,"Caprimulgus vexillarius (Gould, 1838)",species
gi-G-3H66,gi-G-7PQ,"Caprimulgus Linnaeus, 1758",genus
gi-G-7PQ,gi-G-VJ,Caprimulgidae,family
gi-G-VJ,gi-G-V2,Caprimulgiformes,order
gi-G-V2,gi-G-9CK8W,Aves,class
gi-G-9CK8W,gi-G-8VVWB,Tetrapoda,megaclass
gi-G-8VVWB,gi-G-8V4V5,Osteichthyes,parvphylum
gi-G-8V4V5,gi-G-8V4V3,Gnathostomata,infraphylum
gi-G-8V4V3,gi-G-CH2,Vertebrata,subphylum
gi-G-CH2,gi-G-N,Chordata,phylum
gi-G-N,gi-G-5T6MX,Animalia,kingdom
gi-G-5T6MX,gi-G-,Biota,unranked
gi-G-5Y9B7,gi-G-3NSK,"Chlorostilbon alice (Bourcier & Mulsant, 1848)",species
gi-G-3NSK,gi-G-KGD,"Chlorostilbon Gould, 1853",genus
gi-G-KGD,gi-G-HHZ,Trochilinae,subfamily
gi-G-HHZ,gi-G-Q9,Trochilidae,family
gi-G-Q9,gi-G-V2,Apodiformes,order
gi-G-4Y76X,gi-G-7JH2,Solidago capulinensis Cockerell & D. M. Andrews,species
gi-G-7JH2,gi-G-J6T,Solidago L.,genus
gi-G-J6T,gi-G-622TP,Asteroideae (Cass.) Lindl.,subfamily
gi-G-622TP,gi-G-ST,Asteraceae Dumort.,family
gi-G-ST,gi-G-MG,Asterales,order
gi-G-MG,gi-G-TP,Magnoliopsida,class
gi-G-TP,gi-G-P,Tracheophyta,phylum
gi-G-P,gi-G-5T6MX,Plantae,kingdom
gi-G-4Z9B6,gi-G-7LGD,"Spizocorys starki (Shelley, 1902)",species
gi-G-7LGD,gi-G-667,"Spizocorys Sundevall, 1872",genus
gi-G-667,gi-G-3RL,"Alaudidae Vigors, 1825",family
gi-G-3RL,gi-G-V2,Passeriformes,order
gi-G-3F6ZR,gi-G-4LYK,"Gallotia stehlini (Schenkel, 1901)",species
gi-G-4LYK,gi-G-6258X,Gallotia,genus
gi-G-6258X,gi-G-8SF9P,Lacertidae,family
gi-G-8SF9P,gi-G-BXVXG,Lacertoidea,superfamily
gi-G-BXVXG,gi-G-9CK8W,Squamata,order
gi-G-6LWMB,gi-G-4XGJ,"Hipposideros calcaratus (Dobson, 1877)",species
gi-G-4XGJ,gi-G-B3M,"Hipposideros Gray, 1831",genus
gi-G-B3M,gi-G-5M3,"Hipposideridae Lydekker, 1891",family
gi-G-5M3,gi-G-4FY,"Rhinolophoidea Gray, 1825",superfamily
gi-G-4FY,gi-G-B6L7G,"Yinpterochiroptera Springer, Teeling, Madsen, Stanhope & Jong, 2001",suborder
gi-G-B6L7G,gi-G-LG,"Chiroptera Blumenbach, 1779",order
gi-G-LG,gi-G-924GT,"Eutheria Gill, 1872",infraclass
gi-G-924GT,gi-G-BMGVD,"Theria Parker & Haswell, 1897",subclass
gi-G-BMGVD,gi-G-9CK8W,"Mammalia Linnaeus, 1758",class
gi-G-4WHHG,gi-G-7FH7,"Semnopithecus entellus (Dufresne, 1797)",species
gi-G-7FH7,gi-G-L6B,"Semnopithecus Desmarest, 1822",genus
gi-G-L6B,gi-G-JCX,"Presbytini Gray, 1825",tribe
gi-G-JCX,gi-G-7X9,"Colobinae Jerdon, 1867",subfamily
gi-G-7X9,gi-G-4X9,"Cercopithecidae Gray, 1821",family
