name,parent_name,desc,rank
gi-H-6GNHB,gi-H-633LL,Erigeron algidus Jeps.,species
gi-H-633LL,gi-H-J6T,Erigeron L.,genus
gi-H-J6T,gi-H-622TP,Asteroideae (Cass.) Lindl.,subfamily
gi-H-622TP,gi-H-ST,Asteraceae Dumort.,family
gi-H-ST,gi-H-MG,Asterales,order
gi-H-MG,gi-H-TP,Magnoliopsida,class
gi-H-TP,gi-H-P,Tracheophyta,phylum
gi-H-P,gi-H-5T6MX,Plantae,kingdom
gi-H-5T6MX,gi-H-,Biota,unranked
gi-H-6FT7Z,gi-H-4D6C,Epilobium clavatum Trel.,species
gi-H-4D6C,gi-H-K22,Epilobium L.,genus
gi-H-K22,gi-H-DL8,Onagroideae Beilschm.,subfamily
gi-H-DL8,gi-H-BMGVG,Onagraceae Juss.,family
gi-H-BMGVG,gi-H-MG,Myrtales Juss. ex Bercht. & J. Presl,order
gi-H-3J68Z,gi-H-62TZT,Hackelia cusickii (Piper) Brand,species
gi-H-62TZT,gi-H-7NDYV,Hackelia Opiz ex Berchtold,genus
gi-H-7NDYV,gi-H-622G7,Cynoglossoideae Weigend,subfamily
gi-H-622G7,gi-H-BMH4M,Boraginaceae Juss.,family
gi-H-BMH4M,gi-H-MG,Boraginales Juss. ex Bercht. & J. Presl,order
gi-H-4VY5D,gi-H-644X2,"Scotophilus heathii (Horsfield, 1831)",species
gi-H-644X2,gi-H-8LZ84,"Scotophilus Leach, 1821",genus
gi-H-8LZ84,gi-H-628BX,"Scotophilini Hill & Harrison, 1987",tribe
gi-H-628BX,gi-H-HTH,"Vespertilioninae Gray, 1821",subfamily
gi-H-HTH,gi-H-5T9,"Vespertilionidae Gray, 1821",family
gi-H-5T9,gi-H-4FX,"Vespertilionoidea Gray, 1821",superfamily
gi-H-4FX,gi-H-B6L7G,"Yangochiroptera Koopman, 1984",suborder
gi-H-B6L7G,gi-H-LG,"Chiroptera Blumenbach, 1779",order
gi-H-LG,gi-H-924GT,"Eutheria Gill, 1872",infraclass
gi-H-924GT,gi-H-BMGVD,"Theria Parker & Haswell, 1897",subclass
gi-H-BMGVD,gi-H-9CK8W,"Mammalia Linnaeus, 1758",class
gi-H-9CK8W,gi-H-8VVWB,Tetrapoda,megaclass
gi-H-8VVWB,gi-H-8V4V5,Osteichthyes,parvphylum
gi-H-8V4V5,gi-H-8V4V3,Gnathostomata,infraphylum
gi-H-8V4V3,gi-H-CH2,Vertebrata,subphylum
gi-H-CH2,gi-H-N,Chordata,phylum
gi-H-N,gi-H-5T6MX,Animalia,kingdom
gi-H-NZGW,gi-H-62HWT,"Byasa alcinous (Klug, 1836)",species
gi-H-62HWT,gi-H-DX5,Byasa,genus
gi-H-DX5,gi-H-5G9,Papilionidae,family
gi-H-5G9,gi-H-BJ5MJ,Papilionoidea,superfamily
gi-H-BJ5MJ,gi-H-H6,"Lepidoptera Linnaeus, 1758",order
gi-H-H6,gi-H-RT,Insecta,class
gi-H-RT,gi-H-N,Arthropoda,phylum
gi-H-4TDH7,gi-H-63S6D,Rosa laevigata Michx.,species
gi-H-63S6D,gi-H-628NC,Rosa L.,genus
gi-H-628NC,gi-H-FTK,Rosoideae Arn.,subfamily
gi-H-FTK,gi-H-BMGVT,Rosaceae Juss.,family
gi-H-BMGVT,gi-H-MG,Rosales Bercht. & J. Presl,order
gi-H-5FQYV,gi-H-G7HG,"Arceuthobium campylopodum subsp. monticola (Hawksw., Wiens & Nickrent) Nickrent",subspecies
gi-H-G7HG,gi-H-ZVH,Arceuthobium campylopodum A. Gray,species
gi-H-ZVH,gi-H-626RG,Arceuthobium M. Bieb.,genus
gi-H-626RG,gi-H-B7VXZ,Viscaceae Batsch,family
gi-H-B7VXZ,gi-H-MG,Santalales R. Br. ex Bercht. & J. Presl,order
gi-H-6QJQR,gi-H-62Y9W,"Lipotes vexillifer Miller, 1918",species
gi-H-62Y9W,gi-H-C4J,"Lipotes Miller, 1918",genus
