name,parent_name,desc,rank
gi-I-4FJYY,gi-I-63N2W,Phacelia rattanii A. Gray,species
gi-I-63N2W,gi-I-B8V,Phacelia Juss.,genus
gi-I-B8V,gi-I-BMH4M,Hydrophyllaceae R. Br.,family
gi-I-BMH4M,gi-I-MG,Boraginales Juss. ex Bercht. & J. Presl,order
gi-I-MG,gi-I-TP,Magnoliopsida,class
gi-I-TP,gi-I-P,Tracheophyta,phylum
gi-I-P,gi-I-5T6MX,Plantae,kingdom
gi-I-5T6MX,gi-I-,Biota,unranked
gi-I-65YPD,gi-I-TBQ,"Amaurornis phoenicurus (Pennant, 1769)",species
gi-I-TBQ,gi-I-FJ9,"Amaurornis Reichenbach, 1853",genus
gi-I-FJ9,gi-I-6223K,Rallidae,family
gi-I-6223K,gi-I-V2,Gruiformes,order
gi-I-V2,gi-I-9CK8W,Aves,class
gi-I-9CK8W,gi-I-8VVWB,Tetrapoda,megaclass
gi-I-8VVWB,gi-I-8V4V5,Osteichthyes,parvphylum
gi-I-8V4V5,gi-I-8V4V3,Gnathostomata,infraphylum
gi-I-8V4V3,gi-I-CH2,Vertebrata,subphylum
gi-I-CH2,gi-I-N,Chordata,phylum
gi-I-N,gi-I-5T6MX,Animalia,kingdom
gi-I-3M373,gi-I-4XGJ,"Hipposideros galeritus Cantor, 1846",species
gi-I-4XGJ,gi-I-B3M,"Hipposideros Gray, 1831",genus
gi-I-B3M,gi-I-5M3,"Hipposideridae Lydekker, 1891",family
gi-I-5M3,gi-I-4FY,"Rhinolophoidea Gray, 1825",superfamily
gi-I-4FY,gi-I-B6L7G,"Yinpterochiroptera Springer, Teeling, Madsen, Stanhope & Jong, 2001",suborder
gi-I-B6L7G,gi-I-LG,"Chiroptera Blumenbach, 1779",order
gi-I-LG,gi-I-924GT,"Eutheria Gill, 1872",infraclass
gi-I-924GT,gi-I-BMGVD,"Theria Parker & Haswell, 1897",subclass
gi-I-BMGVD,gi-I-9CK8W,"Mammalia Linnaeus, 1758",class
gi-I-62JQP,gi-I-K62,"Cacajao Lesson, 1840",genus
gi-I-K62,gi-I-625NB,"Pitheciinae Mivart, 1865",subfamily
gi-I-625NB,gi-I-4PM,"Pitheciidae Mivart, 1865",family
gi-I-4PM,gi-I-4DT,"Simiiformes Haeckel, 1866",infraorder
gi-I-4DT,gi-I-BMGW3,"Haplorrhini Pocock, 1918",suborder
gi-I-BMGW3,gi-I-LG,"Primates Linnaeus, 1758",order
gi-I-4LPCX,gi-I-63P7R,"Polytelis alexandrae Gould, 1863",species
gi-I-63P7R,gi-I-628M9,"Polytelis Wagler, 1832",genus
gi-I-628M9,gi-I-FBD,Psittacinae,subfamily
gi-I-FBD,gi-I-3X7,Psittacidae,family
gi-I-3X7,gi-I-V2,Psittaciformes,order
gi-I-4NVGG,gi-I-6ZTC,Pseudocymopterus beckii (S. L. Welsh & Goodrich) S. R. Downie,species
gi-I-6ZTC,gi-I-J5W,Pseudocymopterus J. M. Coult. & Rose,genus
gi-I-J5W,gi-I-6KC,Apioideae (Drude) Thorne ex Royen,subfamily
gi-I-6KC,gi-I-BMH4H,Apiaceae Lindl.,family
gi-I-BMH4H,gi-I-MG,Apiales Nakai,order
gi-I-P5WR,gi-I-62JRM,"Cacomantis merulinus (Scopoli, 1786)",species
gi-I-62JRM,gi-I-626TC,"Cacomantis S. Muller, 1843",genus
gi-I-626TC,gi-I-8S7,Cuculinae,subfamily
gi-I-8S7,gi-I-32K,Cuculidae,family
gi-I-32K,gi-I-V2,Cuculiformes,order
gi-I-9WH42,gi-I-7MZ4B,Geocarpon groenlandicum (Retz.) E. E. Schill.,species
gi-I-7MZ4B,gi-I-7RZ,Geocarpon Mack.,genus
gi-I-7RZ,gi-I-BMH4R,Caryophyllaceae Juss.,family
gi-I-BMH4R,gi-I-MG,Caryophyllales Juss. ex Bercht. & J. Presl,order
gi-I-5VKDH,gi-I-XJ7,"Anthus hoeschi Stresemann, 1938",species
gi-I-XJ7,gi-I-CYC,"Anthus Bechstein, 1805",genus
gi-I-CYC,gi-I-3RL,"Motacillidae Horsfield, 1821",family
gi-I-3RL,gi-I-V2,Passeriformes,order
gi-I-4BQSD,gi-I-6BRD,"Pachycoccyx audeberti (Schlegel, 1879)",species
gi-I-6BRD,gi-I-626TC,"Pachycoccyx Cabanis, 1882",genus
gi-I-3P4S6,gi-I-5348,"Hypsugo vordermanni (Jentink, 1890)",species
gi-I-5348,gi-I-628H3,"Hypsugo Kolenati, 1856",genus
gi-I-628H3,gi-I-628BX,"Vespertilionini Gray, 1821",tribe
gi-I-628BX,gi-I-HTH,"Vespertilioninae Gray, 1821",subfamily
gi-I-HTH,gi-I-5T9,"Vespertilionidae Gray, 1821",family
gi-I-5T9,gi-I-4FX,"Vespertilionoidea Gray, 1821",superfamily
