name,parent_name,desc,rank
gi-J-3FBSB,gi-J-4M9W,"Garrulus lanceolatus Vigors, 1831",species
gi-J-4M9W,gi-J-8L6,"Garrulus Brisson, 1760",genus
gi-J-8L6,gi-J-3RL,"Corvidae Leach, 1820",family
gi-J-3RL,gi-J-V2,Passeriformes,order
gi-J-V2,gi-J-9CK8W,Aves,class
gi-J-9CK8W,gi-J-8VVWB,Tetrapoda,megaclass
gi-J-8VVWB,gi-J-8V4V5,Osteichthyes,parvphylum
gi-J-8V4V5,gi-J-8V4V3,Gnathostomata,infraphylum
gi-J-8V4V3,gi-J-CH2,Vertebrata,subphylum
gi-J-CH2,gi-J-N,Chordata,phylum
gi-J-N,gi-J-5T6MX,Animalia,kingdom
gi-J-5T6MX,gi-J-,Biota,unranked
gi-J-5B78V,gi-J-63VMN,Veronica prostrata L.,species
gi-J-63VMN,gi-J-7NLQD,Veronica L.,genus
gi-J-7NLQD,gi-J-6262K,Digitalidoideae (Dumort.) Luerss.,subfamily
gi-J-6262K,gi-J-BMGTX,Plantaginaceae Juss.,family
gi-J-BMGTX,gi-J-MG,Lamiales Bromhead,order
gi-J-MG,gi-J-TP,Magnoliopsida,class
gi-J-TP,gi-J-P,Tracheophyta,phylum
gi-J-P,gi-J-5T6MX,Plantae,kingdom
gi-J-6NJB7,gi-J-57T4,Keckiella ternata (Torr. ex A. Gray) Straw,species
gi-J-57T4,gi-J-7NLP6,Keckiella Straw,genus
gi-J-7NLP6,gi-J-6262K,Chelonoideae Luerss.,subfamily
gi-J-3W4H6,gi-J-5GPQ,"Lophostoma brasiliense Peters, 1867",species
gi-J-5GPQ,gi-J-L5D,"Lophostoma d'Orbigny, 1836",genus
gi-J-L5D,gi-J-K5K,"Phyllostomini Gray, 1825",tribe
gi-J-K5K,gi-J-625JW,"Phyllostominae Gray, 1825",subfamily
gi-J-625JW,gi-J-622NM,"Phyllostomidae Gray, 1825",family
gi-J-622NM,gi-J-4FX,"Noctilionoidea Gray, 1821",superfamily
gi-J-4FX,gi-J-B6L7G,"Yangochiroptera Koopman, 1984",suborder
gi-J-B6L7G,gi-J-LG,"Chiroptera Blumenbach, 1779",order
gi-J-LG,gi-J-924GT,"Eutheria Gill, 1872",infraclass
gi-J-924GT,gi-J-BMGVD,"Theria Parker & Haswell, 1897",subclass
gi-J-BMGVD,gi-J-9CK8W,"Mammalia Linnaeus, 1758",class
gi-J-6QR9T,gi-J-5HR8,"Lynx lynx (Linnaeus, 1758)",species
gi-J-5HR8,gi-J-JKL,"Lynx Kerr, 1792",genus
gi-J-JKL,gi-J-623RM,"Felinae Fischer de Waldheim, 1817",subfamily
gi-J-623RM,gi-J-4DL,"Felidae Fischer de Waldheim, 1817",family
gi-J-4DL,gi-J-B6L7F,"Feliformia Kretzoi, 1945",suborder
gi-J-B6L7F,gi-J-LG,"Carnivora Bowdich, 1821",order
gi-J-7L6B6,gi-J-7WYZM,"Tamias speciosus speciosus Merriam, 1890",subspecies
gi-J-7WYZM,gi-J-8NT8H,"Tamias (Neotamias) speciosus Merriam, 1890",species
gi-J-8NT8H,gi-J-63TGT,"Neotamias A. H. Howell, 1929",subgenus
gi-J-63TGT,gi-J-93N4J,"Tamias Illiger, 1811",genus
gi-J-93N4J,gi-J-KHX,"Marmotini Pocock, 1923",tribe
gi-J-KHX,gi-J-G48,"Xerinae Osborn, 1910",subfamily
gi-J-G48,gi-J-4FD,"Sciuridae Fischer de Waldheim, 1817",family
gi-J-4FD,gi-J-B6L6L,"Sciuromorpha Brandt, 1855",suborder
gi-J-B6L6L,gi-J-LG,"Rodentia Bowdich, 1821",order
gi-J-CPPF,gi-J-TLT,Ambrosia ilicifolia (A. Gray) W. W. Payne,species
gi-J-TLT,gi-J-J6T,Ambrosia L.,genus
gi-J-J6T,gi-J-622TP,Asteroideae (Cass.) Lindl.,subfamily
gi-J-622TP,gi-J-ST,Asteraceae Dumort.,family
gi-J-ST,gi-J-MG,Asterales,order
gi-J-RYQY,gi-J-62KF2,Ceanothus gloriosus Howell,species
gi-J-62KF2,gi-J-FN6,Ceanothus L.,genus
gi-J-FN6,gi-J-BMGVT,Rhamnaceae Juss.,family
gi-J-BMGVT,gi-J-MG,Rosales Bercht. & J. Presl,order
