name,parent_name,desc,rank
gi-K-4JMRC,gi-K-6RKC,"Platalea flavipes Gould, 1838",species
gi-K-6RKC,gi-K-K66,"Platalea Linnaeus, 1758",genus
gi-K-K66,gi-K-H89,"Plataleinae Bonaparte, 1838",subfamily
gi-K-H89,gi-K-3RZ,"Threskiornithidae Poche, 1904",family
gi-K-3RZ,gi-K-V2,Pelecaniformes,order
gi-K-V2,gi-K-9CK8W,Aves,class
gi-K-9CK8W,gi-K-8VVWB,Tetrapoda,megaclass
gi-K-8VVWB,gi-K-8V4V5,Osteichthyes,parvphylum
gi-K-8V4V5,gi-K-8V4V3,Gnathostomata,infraphylum
gi-K-8V4V3,gi-K-CH2,Vertebrata,subphylum
gi-K-CH2,gi-K-N,Chordata,phylum
gi-K-N,gi-K-5T6MX,Animalia,kingdom
gi-K-5T6MX,gi-K-,Biota,unranked
gi-K-3RXP9,gi-K-637QT,"Lagonosticta rubricata (Lichtenstein, 1823)",species
gi-K-637QT,gi-K-623Q5,"Lagonosticta Cabanis, 1851",genus
gi-K-623Q5,gi-K-3RL,"Estrildidae Bonaparte, 1850",family
gi-K-3RL,gi-K-V2,Passeriformes,order
gi-K-6BGDB,gi-K-3W2V,"Crocidura attila Dollman, 1915",species
gi-K-3W2V,gi-K-626TY,"Crocidura Wagler, 1832",genus
gi-K-626TY,gi-K-626YH,"Crocidurinae Milne-Edwards, 1872",subfamily
gi-K-626YH,gi-K-B6L7N,"Soricidae G. Fischer, 1814",family
gi-K-B6L7N,gi-K-LG,"Soricomorpha Gregory, 1910",order
gi-K-LG,gi-K-924GT,"Eutheria Gill, 1872",infraclass
gi-K-924GT,gi-K-BMGVD,"Theria Parker & Haswell, 1897",subclass
gi-K-BMGVD,gi-K-9CK8W,"Mammalia Linnaeus, 1758",class
gi-K-6KFT9,gi-K-4N8W,"Gerygone levigaster Gould, 1843",species
gi-K-4N8W,gi-K-6232S,"Gerygone Gould, 1841",genus
gi-K-6232S,gi-K-3RL,"Acanthizidae Bonaparte, 1854",family
gi-K-4HR3F,gi-K-63MCB,"Picus viridis Linnaeus, 1758",species
gi-K-63MCB,gi-K-K5T,"Picus Linnaeus, 1758",genus
gi-K-K5T,gi-K-625L8,Picinae,subfamily
gi-K-625L8,gi-K-3TR,Picidae,family
gi-K-3TR,gi-K-V2,Piciformes,order
gi-K-6TSV,gi-K-93N4J,"Poliocitellus A. H. Howell, 1938",genus
gi-K-93N4J,gi-K-KHX,"Marmotini Pocock, 1923",tribe
gi-K-KHX,gi-K-G48,"Xerinae Osborn, 1910",subfamily
gi-K-G48,gi-K-4FD,"Sciuridae Fischer de Waldheim, 1817",family
gi-K-4FD,gi-K-B6L6L,"Sciuromorpha Brandt, 1855",suborder
gi-K-B6L6L,gi-K-LG,"Rodentia Bowdich, 1821",order
gi-K-7DT95,gi-K-8589,"Uroderma magnirostrum Davis, 1968",species
gi-K-8589,gi-K-LGB,"Uroderma Peters, 1866",genus
gi-K-LGB,gi-K-L8Z,"Vampyressina Baker, Solari, Cirranello & Simmons, 2016",subtribe
gi-K-L8Z,gi-K-KD5,"Stenodermatini Gervais, 1856",tribe
gi-K-KD5,gi-K-625JW,"Stenodermatinae Gervais, 1856",subfamily
gi-K-625JW,gi-K-622NM,"Phyllostomidae Gray, 1825",family
gi-K-622NM,gi-K-4FX,"Noctilionoidea Gray, 1821",superfamily
gi-K-4FX,gi-K-B6L7G,"Yangochiroptera Koopman, 1984",suborder
