name,parent_name,desc,rank
gi-L-4NDMY,gi-L-6YDP,"Psarocolius oseryi (Deville, 1849)",species
gi-L-6YDP,gi-L-BCZ,"Psarocolius Wagler, 1827",genus
gi-L-BCZ,gi-L-3RL,Icteridae,family
gi-L-3RL,gi-L-V2,Passeriformes,order
gi-L-V2,gi-L-9CK8W,Aves,class
gi-L-9CK8W,gi-L-8VVWB,Tetrapoda,megaclass
gi-L-8VVWB,gi-L-8V4V5,Osteichthyes,parvphylum
gi-L-8V4V5,gi-L-8V4V3,Gnathostomata,infraphylum
gi-L-8V4V3,gi-L-CH2,Vertebrata,subphylum
gi-L-CH2,gi-L-N,Chordata,phylum
gi-L-N,gi-L-5T6MX,Animalia,kingdom
gi-L-5T6MX,gi-L-,Biota,unranked
gi-L-BDTX4,gi-L-N,Entoprocta,phylum
gi-L-6245F,gi-L-3TR,Galbulidae,family
gi-L-3TR,gi-L-V2,Piciformes,order
gi-L-36B3L,gi-L-45WV,"Diomedea dabbenena Mathews, 1929",species
gi-L-45WV,gi-L-623Y3,"Diomedea Linnaeus, 1758",genus
gi-L-623Y3,gi-L-622V8,"Diomedeidae G. R. Gray, 1840",family
gi-L-622V8,gi-L-V2,Procellariiformes,order
gi-L-3NXVS,gi-L-638GG,Hypopitys monotropa Crantz,species
gi-L-638GG,gi-L-93LTB,Hypopitys Hill,genus
gi-L-93LTB,gi-L-623P8,Monotropoideae Arn.,subfamily
gi-L-623P8,gi-L-625QY,Ericaceae Juss.,family
gi-L-625QY,gi-L-MG,Ericales,order
gi-L-MG,gi-L-TP,Magnoliopsida,class
gi-L-TP,gi-L-P,Tracheophyta,phylum
gi-L-P,gi-L-5T6MX,Plantae,kingdom
gi-L-6VKN2,gi-L-6QRY,"Pipreola whitelyi Salvin & Godman, 1884",species
gi-L-6QRY,gi-L-K9W,"Pipreola Swainson, 1838",genus
gi-L-K9W,gi-L-8MB,Rupicolinae,subfamily
gi-L-8MB,gi-L-3RL,Cotingidae,family
gi-L-BN4TX,gi-L-5X92Q,Camissoniopsis pallida subsp. hallii (Davidson) W. L. Wagner & Hoch,subspecies
gi-L-5X92Q,gi-L-62KS2,Camissoniopsis pallida (Abrams) W. L. Wagner & Hoch,species
gi-L-62KS2,gi-L-K22,Camissoniopsis W. L. Wagner & Hoch,genus
gi-L-K22,gi-L-DL8,Onagroideae Beilschm.,subfamily
gi-L-DL8,gi-L-BMGVG,Onagraceae Juss.,family
gi-L-BMGVG,gi-L-MG,Myrtales Juss. ex Bercht. & J. Presl,order
gi-L-5VKF3,gi-L-XJ7,"Anthus melindae Shelley, 1900",species
gi-L-XJ7,gi-L-CYC,"Anthus Bechstein, 1805",genus
gi-L-CYC,gi-L-3RL,"Motacillidae Horsfield, 1821",family
gi-L-4JSN8,gi-L-6RW6,"Platylophus galericulatus (Cuvier, 1816)",species
gi-L-6RW6,gi-L-8L6,"Platylophus Swainson, 1832",genus
gi-L-8L6,gi-L-3RL,"Corvidae Leach, 1820",family
gi-L-54XYV,gi-L-645KS,"Tarsiger johnstoniae (Ogilvie-Grant, 1906)",species
gi-L-645KS,gi-L-CZN,"Tarsiger Hodgson, 1845",genus
gi-L-CZN,gi-L-3RL,"Muscicapidae Fleming, 1822",family
gi-L-32WJT,gi-L-8NNLN,"Cycloptilum trigonipalpum (Rehn & Hebard, 1912)",species
gi-L-8NNLN,gi-L-8QHLD,"Cycloptilum Scudder, 1869",genus
gi-L-8QHLD,gi-L-8PS3D,"Arachnocephalina Gorochov, 1984",subtribe
gi-L-8PS3D,gi-L-8NKXY,"Arachnocephalini Gorochov, 1984",tribe
gi-L-8NKXY,gi-L-8NKMW,"Mogoplistinae Costa, 1855",subfamily
gi-L-8NKMW,gi-L-B7W4C,"Mogoplistidae Costa, 1855",family
gi-L-B7W4C,gi-L-8NKFV,"Grylloidea Laicharting, 1781",superfamily
gi-L-8NKFV,gi-L-8NKFN,"Gryllidea Vickery, 1977",infraorder
gi-L-8NKFN,gi-L-B7VSM,"Ensifera Chopard, 1921",suborder
gi-L-B7VSM,gi-L-H6,"Orthoptera Latreille, 1810",order
gi-L-H6,gi-L-RT,Insecta,class
gi-L-RT,gi-L-N,Arthropoda,phylum
gi-L-6Q33W,gi-L-9WMFT,"Lestes congener Hagen, 1861",species
gi-L-9WMFT,gi-L-9WKRW,"Lestes Leach in Brewster, 1815",genus
gi-L-9WKRW,gi-L-B6NHX,"Lestidae Calvert, 1901",family
gi-L-B6NHX,gi-L-B6LCL,"Zygoptera Selys, 1854",suborder
gi-L-B6LCL,gi-L-H6,"Odonata Fabricius, 1793",order
gi-L-7VD2P,gi-L-8NQ88,"Heteromys (Heteromys) gaumeri J. A. Allen & Chapman, 1897",species
gi-L-8NQ88,gi-L-4WKC,"Heteromys Desmarest, 1817",subgenus
gi-L-4WKC,gi-L-JNX,"Heteromys Desmarest, 1817",genus
gi-L-JNX,gi-L-6255W,"Heteromyinae Gray, 1868",subfamily
gi-L-6255W,gi-L-4CW,"Heteromyidae Gray, 1868",family
gi-L-4CW,gi-L-B6L6L,"Castorimorpha A. E. Wood, 1955",suborder
gi-L-B6L6L,gi-L-LG,"Rodentia Bowdich, 1821",order
gi-L-LG,gi-L-924GT,"Eutheria Gill, 1872",infraclass
gi-L-924GT,gi-L-BMGVD,"Theria Parker & Haswell, 1897",subclass
gi-L-BMGVD,gi-L-9CK8W,"Mammalia Linnaeus, 1758",class
gi-L-44N2R,gi-L-5VTM,"Murina cyclotis Dobson, 1872",species
gi-L-5VTM,gi-L-JXK,"Murina Gray, 1842",genus
gi-L-JXK,gi-L-HTH,"Murininae Miller, 1907",subfamily
gi-L-HTH,gi-L-5T9,"Vespertilionidae Gray, 1821",family
gi-L-5T9,gi-L-4FX,"Vespertilionoidea Gray, 1821",superfamily
gi-L-4FX,gi-L-B6L7G,"Yangochiroptera Koopman, 1984",suborder
gi-L-B6L7G,gi-L-LG,"Chiroptera Blumenbach, 1779",order
gi-L-6625K,gi-L-7NNB3,"Agaronia acuminata (Lamarck, 1811)",species
gi-L-7NNB3,gi-L-7NXD3,"Agaronia J. E. Gray, 1839",genus
gi-L-7NXD3,gi-L-7NK53,"Agaroniinae Olsson, 1956",subfamily
gi-L-7NK53,gi-L-7NGST,"Olividae Latreille, 1825",family
gi-L-7NGST,gi-L-BMGWL,"Olivoidea Latreille, 1825",superfamily
gi-L-BMGWL,gi-L-9WLSP,"Neogastropoda Wenz, 1938",order
gi-L-9WLSP,gi-L-BMGTT,"Caenogastropoda L. R. Cox, 1960",subclass
gi-L-BMGTT,gi-L-M2L,"Gastropoda Cuvier, 1795",class
gi-L-M2L,gi-L-N,Mollusca,phylum
gi-L-6L424,gi-L-BWB3T,"Graphium junodi (Trimen, 1893)",species
gi-L-BWB3T,gi-L-DX5,Graphium,genus
gi-L-DX5,gi-L-5G9,Papilionidae,family
gi-L-5G9,gi-L-BJ5MJ,Papilionoidea,superfamily
gi-L-BJ5MJ,gi-L-H6,"Lepidoptera Linnaeus, 1758",order
gi-L-4CQPX,gi-L-63J5Q,"Paracoccus burnerae (Brain, 1915)",species
gi-L-63J5Q,gi-L-F8D,Paracoccus,genus
gi-L-F8D,gi-L-C2KG4,Pseudococcidae,family
gi-L-C2KG4,gi-L-BXWD4,"Coccidomorpha Heslop-Harrison, 1952",infraorder
gi-L-BXWD4,gi-L-BXVWV,"Sternorrhyncha Amyot & Audinet-Serville, 1843",suborder
gi-L-BXVWV,gi-L-H6,"Hemiptera Linnaeus, 1758",order
gi-L-PW5X,gi-L-3FQ7,"Callosciurus inornatus (Gray, 1867)",species
gi-L-3FQ7,gi-L-J9G,"Callosciurus Gray, 1867",genus
gi-L-J9G,gi-L-G48,"Callosciurinae Pocock, 1923",subfamily
gi-L-G48,gi-L-4FD,"Sciuridae Fischer de Waldheim, 1817",family
gi-L-4FD,gi-L-B6L6L,"Sciuromorpha Brandt, 1855",suborder
gi-L-3WSJV,gi-L-5HR8,"Lynx pardinus (Temminck, 1827)",species
gi-L-5HR8,gi-L-JKL,"Lynx Kerr, 1792",genus
gi-L-JKL,gi-L-623RM,"Felinae Fischer de Waldheim, 1817",subfamily
gi-L-623RM,gi-L-4DL,"Felidae Fischer de Waldheim, 1817",family
gi-L-4DL,gi-L-B6L7F,"Feliformia Kretzoi, 1945",suborder
gi-L-B6L7F,gi-L-LG,"Carnivora Bowdich, 1821",order
gi-L-6K4J9,gi-L-7P2XN,"Fusconaia burkei (B. Walker, 1922)",species
gi-L-7P2XN,gi-L-7NMK6,"Fusconaia C. T. Simpson, 1900",genus
gi-L-7NMK6,gi-L-7NLMC,"Pleurobemini Hannibal, 1912",tribe
gi-L-7NLMC,gi-L-7NLH4,"Ambleminae Rafinesque, 1820",subfamily
gi-L-7NLH4,gi-L-7NFRS,"Unionidae Rafinesque, 1820",family
gi-L-7NFRS,gi-L-B6L8S,"Unionoidea Rafinesque, 1820",superfamily
gi-L-B6L8S,gi-L-7NF5J,"Unionida Gray, 1854",order
gi-L-7NF5J,gi-L-7NVXR,"Palaeoheterodonta Newell, 1965",subterclass
gi-L-7NVXR,gi-L-7NVXG,"Heteroconchia J. E. Gray, 1854",infraclass
gi-L-7NVXG,gi-L-BMGWC,"Autobranchia Grobben, 1894",subclass
gi-L-BMGWC,gi-L-M2L,"Bivalvia Linnaeus, 1758",class
gi-L-48X9V,gi-L-679P,"Oenanthe picata (Blyth, 1847)",species
gi-L-679P,gi-L-CZN,"Oenanthe Vieillot, 1816",genus
gi-L-38GRG,gi-L-632YF,Echinocereus berlandieri (Engelm.) F. Haage,species
gi-L-632YF,gi-L-93LST,Echinocereus Engelm.,genus
gi-L-93LST,gi-L-7HS,Cactoideae Eaton,subfamily
gi-L-7HS,gi-L-BMH4R,Cactaceae Juss.,family
gi-L-BMH4R,gi-L-MG,Caryophyllales Juss. ex Bercht. & J. Presl,order
gi-L-44QVV,gi-L-5VXQ,"Mustela africana Desmarest, 1818",species
gi-L-5VXQ,gi-L-JXN,"Mustela Linnaeus, 1758",genus
gi-L-JXN,gi-L-CZT,"Mustelinae Fischer, 1817",subfamily
gi-L-CZT,gi-L-4CT,"Mustelidae Fischer, 1817",family
gi-L-4CT,gi-L-B6L7F,"Caniformia Kretzoi, 1938",suborder
gi-L-BP94G,gi-L-VB4Z,Cicuta maculata var. angustifolia Hook.,variety
gi-L-VB4Z,gi-L-62LBH,Cicuta maculata L.,species
gi-L-62LBH,gi-L-J5W,Cicuta L.,genus
gi-L-J5W,gi-L-6KC,Apioideae (Drude) Thorne ex Royen,subfamily
gi-L-6KC,gi-L-BMH4H,Apiaceae Lindl.,family
gi-L-BMH4H,gi-L-MG,Apiales Nakai,order
gi-L-5WMYQ,gi-L-3B5D,Bolandra oregana S. Watson,species
gi-L-3B5D,gi-L-6278B,Bolandra A. Gray,genus
gi-L-6278B,gi-L-B7VS8,Saxifragaceae Juss.,family
gi-L-B7VS8,gi-L-MG,Saxifragales Bercht. & J. Presl,order
gi-L-69PPX,gi-L-62LT4,"Charmosyna multistriata (Rothschild, 1911)",species
gi-L-62LT4,gi-L-628JZ,"Charmosyna Wagler, 1832",genus
gi-L-628JZ,gi-L-FBD,Loriinae,subfamily
gi-L-FBD,gi-L-3X7,Psittacidae,family
gi-L-3X7,gi-L-V2,Psittaciformes,order
gi-L-6WPHY,gi-L-75HG,"Puntius viridis Plamoottil & Abraham, 2014",species
gi-L-75HG,gi-L-6248Q,Puntius,genus
gi-L-6248Q,gi-L-334,Cyprinidae,family
gi-L-334,gi-L-BXVWY,Cypriniformes,order
gi-L-BXVWY,gi-L-8VVWB,Actinopterygii,class
gi-L-67W8K,gi-L-34G2,"Asthenes humilis (Cabanis, 1873)",species
gi-L-34G2,gi-L-6245S,"Asthenes Reichenbach, 1853",genus
gi-L-6245S,gi-L-3RL,Furnariidae,family
gi-L-68NHT,gi-L-3B4X,"Boiga wallachi Das, 1998",species
gi-L-3B4X,gi-L-87CG5,Boiga,genus
gi-L-87CG5,gi-L-8G9,Colubrinae,subfamily
gi-L-8G9,gi-L-8GK5V,Colubridae,family
gi-L-8GK5V,gi-L-BXVXG,Colubroidea,superfamily
gi-L-BXVXG,gi-L-9CK8W,Squamata,order
gi-L-7W25Z,gi-L-8NT8Y,"Neotoma (Neotoma) palatina Goldman, 1905",species
gi-L-8NT8Y,gi-L-62WM,"Neotoma Say & Ord, 1825",subgenus
gi-L-62WM,gi-L-JYR,"Neotoma Say & Ord, 1825",genus
gi-L-JYR,gi-L-8P5,"Neotominae Merriam, 1894",subfamily
gi-L-8P5,gi-L-622LW,"Cricetidae Fischer, 1817",family
gi-L-622LW,gi-L-622X6,"Muroidea Illiger, 1811",superfamily
gi-L-622X6,gi-L-B6L6L,"Myomorpha Brandt, 1855",suborder
gi-L-CRVM,gi-L-TSL,"Ametrida centurio Gray, 1847",species
gi-L-TSL,gi-L-LFW,"Ametrida Gray, 1847",genus
gi-L-LFW,gi-L-L8Z,"Stenodermatina Gervais, 1856",subtribe
gi-L-L8Z,gi-L-KD5,"Stenodermatini Gervais, 1856",tribe
gi-L-KD5,gi-L-625JW,"Stenodermatinae Gervais, 1856",subfamily
gi-L-625JW,gi-L-622NM,"Phyllostomidae Gray, 1825",family
gi-L-622NM,gi-L-4FX,"Noctilionoidea Gray, 1821",superfamily
gi-L-6S6BF,gi-L-5XS5,"Nasua narica (Linnaeus, 1766)",species
gi-L-5XS5,gi-L-F2C,"Nasua Storr, 1780",genus
gi-L-F2C,gi-L-4CT,"Procyonidae Gray, 1825",family
gi-L-6HVNJ,gi-L-4JYX,Ficus citrifolia Mill.,species
gi-L-4JYX,gi-L-CXM,Ficus L.,genus
gi-L-CXM,gi-L-BMGVT,Moraceae Gaudin,family
gi-L-BMGVT,gi-L-MG,Rosales Bercht. & J. Presl,order
gi-L-6XFM9,gi-L-7BYH,Salsola tragus L.,species
gi-L-7BYH,gi-L-93LTM,Salsola L.,genus
gi-L-93LTM,gi-L-68Z,Salsoloideae Raf.,subfamily
gi-L-68Z,gi-L-BMH4R,Amaranthaceae Juss.,family
gi-L-5YCPN,gi-L-3P65,Chorizanthe brevicornu Torr.,species
gi-L-3P65,gi-L-93LT4,Chorizanthe R. Br. ex Benth.,genus
gi-L-93LT4,gi-L-627KD,Eriogonoideae Arn.,subfamily
gi-L-627KD,gi-L-BMH4R,Polygonaceae Juss.,family
gi-L-56QLW,gi-L-7WJK,Thymophylla pentachaeta (DC.) Small,species
gi-L-7WJK,gi-L-J6T,Thymophylla Lag.,genus
gi-L-J6T,gi-L-622TP,Asteroideae (Cass.) Lindl.,subfamily
gi-L-622TP,gi-L-ST,Asteraceae Dumort.,family
gi-L-ST,gi-L-MG,Asterales,order
gi-L-936HB,gi-L-5H78,Ludwigia polycarpa Short & R. Peter,species
gi-L-5H78,gi-L-93LT8,Ludwigia L.,genus
gi-L-93LT8,gi-L-DL8,Ludwigioideae W. L. Wagner & Hoch,subfamily
gi-L-GBMS,gi-L-62CT9,Arctostaphylos hooveri P. V. Wells,species
gi-L-62CT9,gi-L-93LSQ,Arctostaphylos Adans.,genus
gi-L-93LSQ,gi-L-623P8,Arbutoideae (Meisn.) Nied.,subfamily
gi-L-3XKSS,gi-L-639WW,"Malacoptila fulvogularis P. L. Sclater, 1854",species
gi-L-639WW,gi-L-622HW,"Malacoptila G. R. Gray, 1841",genus
gi-L-622HW,gi-L-3TR,Bucconidae,family
gi-L-77KNS,gi-L-6QRN,"Pipistrellus stenopterus (Dobson, 1875)",species
gi-L-6QRN,gi-L-L5K,"Pipistrellus Kaup, 1829",genus
gi-L-L5K,gi-L-628BX,"Pipistrellini Tate, 1942",tribe
gi-L-628BX,gi-L-HTH,"Vespertilioninae Gray, 1821",subfamily
gi-L-6VFMG,gi-L-6PRN,"Phylloscopus davisoni (Oates, 1889)",species
gi-L-6PRN,gi-L-625K5,"Phylloscopus F. Boie, 1826",genus
gi-L-625K5,gi-L-3RL,Phylloscopidae,family
gi-L-72WZX,gi-L-8NRW5,"Melanoplus spretus (Walsh, 1866)",species
gi-L-8NRW5,gi-L-8PS4F,"Melanoplus Stål, 1873",genus
gi-L-8PS4F,gi-L-8NKXN,"Melanoplini Scudder, 1897",tribe
gi-L-8NKXN,gi-L-8NKGT,"Melanoplinae Scudder, 1897",subfamily
gi-L-8NKGT,gi-L-B7W47,"Acrididae MacLeay, 1821",family
gi-L-B7W47,gi-L-8NKFS,"Acridoidea MacLeay, 1821",superfamily
gi-L-8NKFS,gi-L-8NKFL,"Acrididea Targioni-Tozzetti, 1882",infraorder
gi-L-8NKFL,gi-L-B7VSM,"Caelifera Ander, 1936",suborder
gi-L-6GQ4Q,gi-L-633LL,Erigeron pallens Cronquist,species
gi-L-633LL,gi-L-J6T,Erigeron L.,genus
gi-L-3TG2S,gi-L-5CP2,"Lepomis peltastes Cope, 1870",species
gi-L-5CP2,gi-L-622LH,Lepomis,genus
gi-L-622LH,gi-L-PC,Centrarchidae,family
gi-L-PC,gi-L-BXVWY,Perciformes,order
gi-L-36ZKR,gi-L-4769,"Diuca diuca (Molina, 1782)",species
gi-L-4769,gi-L-H87,"Diuca Reichenbach, 1850",genus
gi-L-H87,gi-L-3RL,Thraupidae,family
gi-L-CQN3,gi-L-6298M,Amelanchier bartramiana (Tausch) M. Roem.,species
gi-L-6298M,gi-L-BVBB9,Amelanchier Medik.,genus
gi-L-BVBB9,gi-L-FTK,Amygdaloideae Arn.,subfamily
gi-L-FTK,gi-L-BMGVT,Rosaceae Juss.,family
gi-L-626M3,gi-L-46J,"Sulidae Reichenbach, 1849",family
gi-L-46J,gi-L-V2,Suliformes,order
gi-L-725KC,gi-L-638ZH,"Leucocarbo ranfurlyi (Ogilvie-Grant, 1901)",species
gi-L-638ZH,gi-L-62694,"Leucocarbo Bonaparte, 1856",genus
gi-L-62694,gi-L-46J,"Phalacrocoracidae Reichenbach, 1849",family
gi-L-6NBJ7,gi-L-7NF35,Isotrema californicum (Torr.) H. Huber,species
gi-L-7NF35,gi-L-J6F,Isotrema Raf.,genus
gi-L-J6F,gi-L-6QB,Aristolochioideae Burnett,subfamily
gi-L-6QB,gi-L-BMH5J,Aristolochiaceae Juss.,family
gi-L-BMH5J,gi-L-MG,Piperales Bercht. & J. Presl,order
gi-L-VDP3,gi-L-62LC4,"Cinclodes palliatus (Tschudi, 1844)",species
gi-L-62LC4,gi-L-6245S,"Cinclodes G. R. Gray, 1840",genus
gi-L-64985,gi-L-KJB,"Zapus Coues, 1875",genus
gi-L-KJB,gi-L-9CB,"Zapodinae Coues, 1875",subfamily
gi-L-9CB,gi-L-537,"Dipodidae Fischer de Waldheim, 1817",family
gi-L-537,gi-L-622X6,"Dipodoidea Fischer de Waldheim, 1817",superfamily
gi-L-46YFP,gi-L-636S,"Nepheronia argia (Fabricius, 1775)",species
gi-L-636S,gi-L-625MK,Nepheronia,genus
gi-L-625MK,gi-L-5G9,Pieridae,family
gi-L-53Q8G,gi-L-7QW7,Symphyotrichum molle (Rydb.) G. L. Nesom,species
gi-L-7QW7,gi-L-J6T,Symphyotrichum Nees,genus
gi-L-3264S,gi-L-62PXK,"Ctenomys coludo Thomas, 1920",species
gi-L-62PXK,gi-L-8RV,"Ctenomys Blainville, 1826",genus
gi-L-8RV,gi-L-4L7,"Ctenomyidae Lesson, 1842",family
gi-L-4L7,gi-L-4DX,"Hystricognathi Brandt, 1855",infraorder
gi-L-4DX,gi-L-B6L6L,"Hystricomorpha Brandt, 1855",suborder
gi-L-3YHSF,gi-L-5M9P,"Mayrornis lessoni (G. R. Gray, 1846)",species
gi-L-5M9P,gi-L-CVP,"Mayrornis Wetmore, 1932",genus
gi-L-CVP,gi-L-3RL,"Monarchidae Bonaparte, 1854",family
gi-L-3G63X,gi-L-4NTQ,"Glaucidium hardyi Vielliard, 1989",species
