eccn_no,part_id,iso_language,beg_eff_dt,last_update_dt,parent_id,end_eff_dt,eccn_desc,iso_country,unit,notes,AT
0,US_ECCN_0,EN,1/1/1980,1/1/1980,0,1/1/2050,"Nuclear Materials, Facilities and Equipment, and Miscellaneous",US,,,
0A                  ,US_ECCN_0A,EN,1/1/1980,1/1/1980,US_ECCN_0,1/1/2050,"Equipment, Assemblies, and Components",US,,,
0A002               ,US_ECCN_0A002,EN,1/1/1980,10/8/2013,US_ECCN_0A,1/1/2050,"Power generating or propulsion equipment ""specially designed"" for use with space, marine or mobile ""nuclear reactors"". (These items are ""subject to the ITAR."" See 22 CFR parts 120 through 130.)",US,N/A,,
0A018               ,US_ECCN_0A018,EN,1/1/1980,8/11/2014,US_ECCN_0A,1/1/2050,Items on the Wassenaar Munitions List (see List of Items Controlled).,US,n/a,,
0A018.b             ,US_ECCN_0A018B,EN,1/1/1980,8/11/2014,US_ECCN_0A018,1/1/2050,"b. ""Specially designed"" components and parts for ammunition, except cartridge cases, powder bags, bullets, jackets, cores, shells, projectiles, boosters, fuses and components, primers, and other detonating devices and ammunition belting and linking machines (all of which are ""subject to the ITAR."" (See 22 CFR parts 120 through 130);  ",US,n/a,"Note: 0A018.b does not apply to ""components"" ""specially designed"" for blank or dummy ammunition as follows: a. Ammunition crimped without a projectile (blank star); b. Dummy ammunition with a pierced powder chamber; c. Other blank and dummy ammunition, not incorporating components designed for live ammunition.",
0A018.c             ,US_ECCN_0A018C,EN,1/1/1980,3/17/2014,US_ECCN_0A018,1/1/2050,c. Muzzle loading (black powder) firearms with a caliber less than 20 mm that were manufactured later than 1937 and that are not reproductions of firearms manufactured earlier than 1890;,US,n/a,"Note: 0A018.c does not control weapons used for hunting or sporting purposes that were not specially designed for military use and are not of the fully automatic type, but see ECCN 0A984 concerning shotguns",
0A521               ,US_ECCN_0A521,EN,4/18/2012,4/19/2012,US_ECCN_0A,1/1/2050,"Any commodity subject to the EAR that is not listed elsewhere in the CCL, but which is controlled for export because it provides at least a significant military or intelligence advantage to the United States or for foreign policy reasons.",US,n/a,,
0A604               ,US_ECCN_0A604,EN,3/17/2014,12/29/2016,US_ECCN_0A,1/1/2050,Commodities related to military explosive devices and charges (see List of Items Controlled).,US,n/a,,
0A604.a             ,US_ECCN_0A604A,EN,3/17/2014,3/24/2014,US_ECCN_0A604,1/1/2050,"a. Demolition blocks, and detonators designed, modified, or adapted therefor.   Note to 0A604.a and .b: This entry does not control the detonators and other items described in ECCN 1A007 or ECCN 3A232.",US,n/a,,
0A604.b             ,US_ECCN_0A604B,EN,3/17/2014,3/24/2014,US_ECCN_0A604,1/1/2050,b. Military explosive excavating devices.  Note to 0A604.a and .b: This entry does not control the detonators and other items described in ECCN 1A007 or ECCN 3A232.,US,n/a,,
0A604.c             ,US_ECCN_0A604C,EN,3/17/2014,3/24/2014,US_ECCN_0A604,1/1/2050,"c. Smoke hand grenades and stun hand grenades (e.g., ""flashbangs"") not controlled by ECCN 1A984.",US,n/a,,
0A604.x             ,US_ECCN_0A604X,EN,3/18/2014,12/29/2016,US_ECCN_0A604,1/1/2050,"x. ""Parts,"" ""components,"" ""accessories,"" and ""attachments"" that are ""specially designed"" for a commodity subject to control in paragraphs .a through .c of this ECCN, or for a defense article controlled under USML Category IV, and not specified elsewhere on the USML.  Note to 0A604.x: ""Parts,"" ""components,"" ""accessories,"" and ""attachments"" specified in USML Category IV(h) are subject to the controls of that paragraph.",US,n/a,,
0A606               ,US_ECCN_0A606,EN,11/14/2013,8/29/2018,US_ECCN_0A,1/1/2050,"Ground vehicles and related commodities, as follows (see List of Items Controlled).",US,n/a,,
